Id,Nombres,Apellidos,Meses_labor,Cargo,Salario
10,Carlos,Zapata,9t,D,12500000
11,Javier,Martinez,22,M,6700000
12,Benjamin,Hernandez,16,N,4869044
13,Isabella,Garcia,21,N,4668277
14,Martina,Martinez,22,N,4930282
15,Catalina,Lopez,5,M,8551918
16,Bautista,Gonzalez,9,D,13145180
17,Sofia,Rodriguez,10,D,13705665
18,Olivia ,Perez,13,N,4929180
19,Felipe,Sanchez,11,M,8512591
20,Emma,Ramirez,20,M,9545974
21,Valentino,Flores,11,D,13414391
22,Benicio,Cruz,24,N,5945362
23,Joaquin,Gomez,5,N,4876574
24,Delfina,Morales,12,N,5735993
25,Lorenzo,Vazquez,20,D,14126850
26,Francesca,Jimenez,8,M,6988877
27,Valentina,Reyes,24,M,8600852
28,Emilia,Diaz,25,D,11246778
29,Mateo,Torres,10,N,4811392
30,Juan Ignacio,Gutierrez,5,N,4694127
31,Santino,Ruiz,10,N,4764557
32,Tomas,Aguilar,22,D,12465136
33,Francisco,Mendoza,18,M,8581748
34,Juana,Castillo,15,N,4600437
35,Josefina,Ortiz,21,N,5787486
36,Santiago,Moreno,25,N,4656909
37,Simon,Rivera,22,M,9406376
38,Guillermina,Ramos,21,D,14427620
39,Ignacio,Romero,6,D,14376343
40,Victoria,Juarez,9,N,5661496
41,Guadalupe,Alvarez,12,M,7967530
42,Agustin,Mendez,8,M,9141020
43,Benjamin,Chavez,16,D,14865668
44,Julieta,Herrera,12,N,5618253
45,Pedro,Medina,14,N,5127638
46,Renata,Dominguez,13,N,5515389
47,Alma,Castro,21,D,13296195
48,Jazmin,Guzman,23,M,6672687
49,Ciro,Vargas,16,M,9836893
50,Juan Cruz,Velazquez,9,D,14936771
51,Thiago ,Salazar,25,N,5609984
52,Lola,Rojas,6,N,5130741
53,Pilar,Ortega,25,N,5349792
54,Lucia,Cortes,14,D,13455611
55,Lautaro,Santiago,7,M,7830437
56,Bruno,Guerrero,16,N,5804930
57,Malena,Contreras,6,N,5244658
58,Julia,Bautista,15,N,5758531
59,Dante,Estrada,8,M,7230549
